san_pham_id,ten,mo_ta,gia,anh,con_hang,thuong_hieu
271362153,"Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da FOR KIDS (Bản KIDS, Không Quảng Cáo) - Hàng chính hãng","Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) và Bao da FOR KIDS (Bản KIDS, Không Quảng Cáo) - Hàng chính hãng",3990000,https://salt.tikicdn.com/cache/280x280/ts/product/86/62/26/8c68d522f1624ba63547fbc3309ced8c.jpg,,Kindle
271234577,Điện Thoại Nokia 105 4G Pro - Hàng Chính Hãng,Điện Thoại Nokia 105 4G Pro - Hàng Chính Hãng,749000,https://salt.tikicdn.com/cache/280x280/ts/product/61/c1/bc/e622f228caee685ecadda0d275987c72.png,,Nokia
252586291,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng chính hãng,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng chính hãng,3890000,https://salt.tikicdn.com/cache/280x280/ts/product/70/5e/e2/af1f4f473341417084514413c91b12b7.jpg,,Kindle
249782771,Máy tính bảng Xelex Gama Tab X8 EDU (Hàng chính hãng),Máy tính bảng Xelex Gama Tab X8 EDU (Hàng chính hãng),2890000,https://salt.tikicdn.com/cache/280x280/ts/product/1d/c2/aa/f2c04f0289d29269144c7f156064298b.jpg,,XELEX
193366048,Điện thoại OnePlus 10T 5G - Hàng Chính Hãng,Điện thoại OnePlus 10T 5G - Hàng Chính Hãng,15990000,https://salt.tikicdn.com/cache/280x280/ts/product/92/e0/e0/f614498043ec158a71d483658099e6f6.jpg,,OnePlus 
279319829,Điện thoại Xiaomi Redmi 15 5G (8GB/256GB) - Hàng chính hãng,Điện thoại Xiaomi Redmi 15 5G (8GB/256GB) - Hàng chính hãng,6690000,https://salt.tikicdn.com/cache/280x280/ts/product/a3/2b/8f/9cb99eacd433aef4512261ec186b7233.jpg,,Xiaomi
279293190,Máy tính bảng Xiaomi Redmi Pad SE 8.7 Wifi (6GB/128GB) - Hàng chính hãng,Máy tính bảng Xiaomi Redmi Pad SE 8.7 Wifi (6GB/128GB) - Hàng chính hãng,4690000,https://salt.tikicdn.com/cache/280x280/ts/product/82/4c/45/f7d1d1545f6345b9070af8ce3cfc6d27.jpg,,Xiaomi
279292815,"Máy tính bảng Xiaomi Redmi Pad 2 Pro 12.1"" Wifi (6GB/128GB) - Hàng chính hãng","Máy tính bảng Xiaomi Redmi Pad 2 Pro 12.1"" Wifi (6GB/128GB) - Hàng chính hãng",7990000,https://salt.tikicdn.com/cache/280x280/ts/product/9d/23/5d/8f3c5e249f7d3e55d4042b3c93b624b7.jpg,,Xiaomi
279280445,Điện thoại Xiaomi Redmi Note 15 Pro 5G (12GB/256GB) - Hàng chính hãng,Điện thoại Xiaomi Redmi Note 15 Pro 5G (12GB/256GB) - Hàng chính hãng,11490000,https://salt.tikicdn.com/cache/280x280/ts/product/5a/82/8d/06e09bd973afc1c6b7585f17b23c728a.jpeg,,Xiaomi
279277445,Điện thoại Samsung Galaxy S26+ (12GB/512GB) - Hàng chính hãng,Điện thoại Samsung Galaxy S26+ (12GB/512GB) - Hàng chính hãng,35990000,https://salt.tikicdn.com/cache/280x280/ts/product/1e/06/09/0478641026da64a175aebd79f1e9063b.jpg,,Samsung
279277056,Điện thoại Samsung Galaxy S26+ (12GB/256GB) - Hàng chính hãng,Điện thoại Samsung Galaxy S26+ (12GB/256GB) - Hàng chính hãng,29990000,https://salt.tikicdn.com/cache/280x280/ts/product/c3/37/e1/f6a44648923d60ebe918069b4368e3c7.jpg,,Samsung
279255062,Máy Tính Bảng Xiaomi Redmi Pad 2 Wifi 6GB/128GB - Hàng Chính Hãng,Máy Tính Bảng Xiaomi Redmi Pad 2 Wifi 6GB/128GB - Hàng Chính Hãng,5790000,https://salt.tikicdn.com/cache/280x280/ts/product/52/32/b6/6c7c910601c2ff2e5493bdb5bbb31671.jpg,,Xiaomi
